,Object,RA,DEC,Class
233,AM 2127-403,21 30 21.9400,-40 26 17.900,PRG
234,AM 2128-302,21 31 08.6686,-30 16 15.598,PRG
235,AM 2130-294,21 33 29.6700,-29 30 23.300,PRG
236,AM 2131-495,21 34 37.6200,-49 42 45.500,PRG
237,AM 2131-254,21 34 30.2444,-25 28 43.663,PRG
238,AM 2132-535,21 36 11.2700,-53 41 24.700,PRG
239,AM 2134-471,21 37 28.1800,-47 02 09.000,PRG
240,AM 2136-492,21 39 25.9159,-49 09 42.410,PRG
241,AM 2141-515,21 45 15.1967,-51 41 52.909,PRG
242,AM 2145-543,21 49 08.8000,-54 17 48.000,PRG
243,AM 2147-490,21 51 06.1166,-48 48 19.720,PRG
244,AM 2152-592,21 56 19.6400,-59 07 16.200,PRG
245,AM 2155-263,21 58 38.4400,-26 22 40.400,PRG
246,AM 2159-330,22 02 44.5600,-32 48 07.800,PRG
247,AM 2200-715,22 05 00.2864,-71 42 07.414,PRG
248,AM 2201-230,22 04 19.2643,-22 47 39.503,PRG
249,AM 2209-715,22 13 07.1504,-71 44 44.506,PRG
250,AM 2220-493,22 23 13.4000,-49 17 37.538,PRG
251,AM 2223-635,22 26 44.7000,-63 42 12.000,PRG
252,AM 2230-481,22 33 45.2000,-48 01 30.000,PRG
253,AM 2238-541,22 41 57.2190,-53 59 41.305,PRG
254,AM 2240-304,22 43 36.8400,-30 28 50.200,PRG
255,AM 2246-581,22 49 19.0121,-57 56 12.839,PRG
256,AM 2247-440,22 50 27.6200,-43 48 41.800,PRG
257,AM 2248-332,22 51 04.1640,-33 04 27.280,PRG
258,AM 2248-324,22 51 45.0600,-32 33 31.500,PRG
259,AM 2302-322,23 05 40.1100,-32 09 10.600,PRG
260,AM 2308-324,23 11 16.9600,-32 27 15.400,PRG
261,AM 2309-235,23 12 13.0177,-23 36 28.545,PRG
262,AM 2311-425,23 13 53.1700,-42 36 15.400,PRG
263,AM 2313-261,23 15 46.7700,-25 54 19.400,PRG
264,AM 2315-495,23 18 21.8100,-49 36 33.700,PRG
265,AM 2316-520,23 19 17.6701,-51 45 47.240,PRG
266,AM 2317-672,23 20 09.8100,-67 08 58.500,PRG
267,AM 2317-672,23 20 09.8100,-67 08 58.500,PRG
268,AM 2322-671,23 25 45.0000,-67 03 34.000,PRG
269,AM 2323-512,23 26 31.8300,-51 08 07.400,PRG
270,AM 2331-705,23 34 27.4500,-70 37 53.500,PRG
271,AM 2334-292,23 37 06.5600,-29 05 01.700,PRG
272,AM 2338-312,23 41 22.0000,-31 03 12.000,PRG
273,AM 2343-703,23 46 39.4300,-70 22 51.200,PRG
274,AM 2350-514,23 53 25.9267,-51 26 08.650,PRG
275,AM 2353-291,23 56 25.0000,-29 01 24.000,PRG
