Object,RA,DEC,Class
HRG 12101,05 58 48.73,-60 03 26.18,PRG
OA 01102,06 00 09.72,-57 55 01.12,PRG
HRG 12102,06 00 21.26,-57 56 20.79,PRG
AM 0608-752,06 06 52.07,-75 21 51.68,PRG
HRG 42501,06 12 21.53,-28 03 26.55,PRG
OA 02901,06 12 37.55,-28 02 21.15,PRG
HRG 16001,06 14 30.42,-53 56 28.56,PRG
HRG 00506,06 17 17.80,-82 47 53.68,PRG
A 0618-3633,06 20 07.29,-36 34 37.71,PRG
HRG 00502,06 23 10.13,-87 35 08.40,PRG
HRG 00501,06 24 08.67,-87 30 07.06,PRG
OA 00108,06 24 18.94,-85 04 47.14,PRG
OA 02502,06 24 48.66,-37 21 20.86,PRG
AM 0623-371,06 25 01.50,-37 22 50.95,PRG
ESO 365-G16,06 25 10.33,-37 20 23.15,PRG
HRG 00507,06 25 47.59,-85 05 51.43,PRG
AM 0628-632,06 28 57.81,-63 29 39.05,PRG
HRG 48907,06 29 13.81,-26 29 45.34,PRG
AM 0642-801,06 38 37.52,-80 14 47.91,PRG
HRG 03401,06 43 05.89,-74 14 09.95,PRG
AM 0656-745,06 55 28.42,-75 02 05.38,PRG
HRG 01701,07 27 30.49,-81 15 36.25,PRG
HRG 01702,07 40 10.12,-80 36 39.88,PRG
HRG 01703,07 47 25.94,-78 08 59.47,PRG
HRG 00510,07 49 48.14,-84 11 07.14,PRG
AM 0755-785,07 53 31.29,-79 06 28.04,PRG
HRG 00511,07 59 12.65,-82 48 24.83,PRG
FM 59-12,08 00 03.47,-67 10 17.58,PRG
HRG 00512,08 07 52.81,-82 18 52.39,PRG
HRG 00513,08 09 06.95,-82 37 15.43,PRG
HRG 01704,08 12 03.90,-79 22 39.91,PRG
HRG 01705,08 12 42.82,-79 53 06.36,PRG
AM 0814-760,08 13 31.44,-76 17 25.94,PRG
HRG 00514,08 14 41.41,-83 37 34.42,PRG
HRG 08901,08 20 26.17,-65 20 25.09,PRG
HRG 01801,08 23 08.41,-77 51 06.50,PRG
ESO 018-G08,08 23 16.61,-77 49 10.79,PRG
HRG 00601,09 01 55.15,-82 51 35.22,PRG
HRG 01802,09 15 25.05,-80 13 16.86,PRG
ESO 498-G01,09 23 30.10,-23 09 43.36,PRG
HRG 01803,09 35 01.00,-78 12 59.02,PRG
ESO 566-IG8,09 44 59.51,-19 42 44.67,PRG
A 0950-2234,09 52 53.88,-22 48 32.02,PRG
Arp 292,09 54 32.84,-06 51 24.31,PRG
HRG 31601,10 08 39.82,-40 05 35.44,PRG
FM 316-19,10 09 05.39,-38 24 35.00,PRG
FM 316-24,10 11 01.88,-39 41 36.16,PRG
HRG 01901,10 11 08.03,-82 37 49.32,PRG
OA 00202,10 12 10.50,-82 39 31.86,PRG
HRG 56801,10 21 45.01,-18 24 37.66,PRG
HRG 56802,10 23 48.21,-21 08 26.24,PRG
ESO 500-G41,10 26 56.17,-24 05 20.07,PRG
HRG 01902,10 28 06.64,-81 46 21.25,PRG
HRG 37501,10 29 45.37,-38 20 54.92,PRG
ESO 501-IG46,10 37 12.70,-27 41 00.54,PRG
AM 1035-260,10 37 29.06,-26 19 00.14,PRG
HRG 31801,10 45 25.27,-42 31 36.14,PRG
AM 1045-245,10 48 23.39,-25 09 42.82,PRG
AM 1054-325,10 56 58.10,-33 09 56.50,PRG
FM 438-6,11 00 22.66,-28 45 42.78,PRG
